"Date","AUS"
"23/12/2021","6.5"
"24/12/2021","7.0"
"25/12/2021","6.3"
"26/12/2021","6.1"
"27/12/2021","6.5"
"28/12/2021","6.4"
"29/12/2021","6.6"
"30/12/2021","7.1"
"31/12/2021","7.6"
"01/01/2022","7.9"
"02/01/2022","8.0"
"03/01/2022","8.6"
"04/01/2022","8.3"
"05/01/2022","9.1"
"06/01/2022","9.2"
"07/01/2022","9.9"
"08/01/2022","11.2"
"09/01/2022","12.5"
"10/01/2022","13.6"
"11/01/2022","15.1"
"12/01/2022","18.1"
"13/01/2022","21.0"
"14/01/2022","23.9"
"15/01/2022","26.9"
"16/01/2022","29.4"
"17/01/2022","31.0"
"18/01/2022","36.3"
"19/01/2022","39.7"
"20/01/2022","43.1"
"21/01/2022","48.1"
"22/01/2022","50.9"
"23/01/2022","53.6"
"24/01/2022","56.1"
"25/01/2022","59.6"
"26/01/2022","62.3"
"27/01/2022","63.4"
"28/01/2022","66.4"
"29/01/2022","69.5"
"30/01/2022","72.9"
"31/01/2022","73.9"
"01/02/2022","73.8"
"02/02/2022","74.0"
"03/02/2022","75.7"
"04/02/2022","75.4"
"05/02/2022","76.8"
"06/02/2022","75.9"
"07/02/2022","75.1"
"08/02/2022","73.6"
"09/02/2022","72.4"
"10/02/2022","71.4"
"11/02/2022","68.1"
"12/02/2022","65.8"
"13/02/2022","62.9"
"14/02/2022","61.5"
"15/02/2022","59.6"
"16/02/2022","59.1"
"17/02/2022","57.9"
"18/02/2022","54.7"
"19/02/2022","52.0"
"20/02/2022","51.1"
"21/02/2022","49.0"
"22/02/2022","47.7"
"23/02/2022","47.1"
"24/02/2022","45.9"
"25/02/2022","44.4"
"26/02/2022","42.2"
"27/02/2022","40.8"
"28/02/2022","39.9"
"01/03/2022","39.2"
"02/03/2022","39.0"
"03/03/2022","37.6"
"04/03/2022","37.5"
"05/03/2022","38.0"
"06/03/2022","36.6"
"07/03/2022","37.7"
"08/03/2022","36.3"
"09/03/2022","34.4"
"10/03/2022","32.9"
"11/03/2022","33.0"
"12/03/2022","32.1"
"13/03/2022","31.3"
"14/03/2022","30.7"
"15/03/2022","29.6"
"16/03/2022","26.9"
"17/03/2022","25.4"
"18/03/2022","24.7"
"19/03/2022","23.0"
"20/03/2022","22.7"
"21/03/2022","20.8"
"22/03/2022","21.5"
"23/03/2022","20.9"
"24/03/2022","21.9"
"25/03/2022","21.6"
"26/03/2022","22.3"
"27/03/2022","21.9"
"28/03/2022","22.1"
"29/03/2022","22.5"
"30/03/2022","23.3"
"31/03/2022","23.7"
"01/04/2022","22.8"
"02/04/2022","22.6"
"03/04/2022","23.2"
"04/04/2022","23.8"
"05/04/2022","24.6"
"06/04/2022","24.6"
"07/04/2022","24.4"
"08/04/2022","24.8"
"09/04/2022","24.3"
"10/04/2022","24.5"
"11/04/2022","24.4"
"12/04/2022","25.1"
"13/04/2022","25.4"
"14/04/2022","26.4"
"15/04/2022","27.6"
"16/04/2022","28.3"
"17/04/2022","28.3"
"18/04/2022","28.0"
"19/04/2022","26.6"
"20/04/2022","27.4"
"21/04/2022","28.6"
"22/04/2022","29.6"
"23/04/2022","31.1"
"24/04/2022","31.6"
"25/04/2022","32.4"
"26/04/2022","33.1"
"27/04/2022","33.6"
"28/04/2022","33.9"
"29/04/2022","33.4"
"30/04/2022","34.6"
"01/05/2022","34.5"
"02/05/2022","34.7"
"03/05/2022","36.4"
"04/05/2022","37.6"
"05/05/2022","38.1"
"06/05/2022","36.9"
"07/05/2022","36.9"
"08/05/2022","36.8"
"09/05/2022","35.8"
"10/05/2022","35.8"
"11/05/2022","36.1"
"12/05/2022","36.5"
"13/05/2022","38.4"
"14/05/2022","38.4"
"15/05/2022","38.8"
"16/05/2022","38.8"
"17/05/2022","40.6"
"18/05/2022","40.4"
"19/05/2022","40.1"
"20/05/2022","41.6"
"21/05/2022","41.7"
"22/05/2022","41.8"
"23/05/2022","42.8"
"24/05/2022","44.1"
"25/05/2022","43.4"
"26/05/2022","44.6"
"27/05/2022","43.6"
"28/05/2022","44.0"
"29/05/2022","44.6"
"30/05/2022","44.4"
"31/05/2022","43.7"
"01/06/2022","42.6"
"02/06/2022","42.9"
"03/06/2022","42.9"
"04/06/2022","43.9"
"05/06/2022","44.6"
"06/06/2022","44.7"
"07/06/2022","41.9"
"08/06/2022","43.2"
"09/06/2022","42.4"
"10/06/2022","42.5"
"11/06/2022","43.4"
"12/06/2022","42.9"
"13/06/2022","43.0"
"14/06/2022","41.1"
"15/06/2022","42.6"
"16/06/2022","43.7"
"17/06/2022","43.8"
"18/06/2022","44.1"
"19/06/2022","44.9"
"20/06/2022","44.5"
"21/06/2022","46.6"
"22/06/2022","46.9"
"23/06/2022","46.4"
"24/06/2022","46.8"
"25/06/2022","45.8"
"26/06/2022","45.9"
"27/06/2022","46.8"
"28/06/2022","50.0"
"29/06/2022","50.1"
"30/06/2022","49.2"
"01/07/2022","47.9"
"02/07/2022","47.2"
"03/07/2022","46.4"
"04/07/2022","47.3"
"05/07/2022","46.4"
"06/07/2022","45.0"
"07/07/2022","45.6"
"08/07/2022","44.8"
"09/07/2022","46.3"
"10/07/2022","45.4"
"11/07/2022","44.6"
"12/07/2022","43.4"
"13/07/2022","43.3"
"14/07/2022","44.6"
"15/07/2022","46.9"
"16/07/2022","48.6"
"17/07/2022","48.6"
"18/07/2022","48.9"
"19/07/2022","51.0"
"20/07/2022","54.3"
"21/07/2022","56.4"
"22/07/2022","58.4"
"23/07/2022","60.1"
"24/07/2022","61.8"
"25/07/2022","63.1"
"26/07/2022","66.1"
"27/07/2022","68.0"
"28/07/2022","71.4"
"29/07/2022","77.9"
"30/07/2022","82.4"
"31/07/2022","83.1"
"01/08/2022","82.3"
"02/08/2022","83.7"
"03/08/2022","81.9"
"04/08/2022","81.6"
"05/08/2022","83.0"
"06/08/2022","82.0"
"07/08/2022","81.7"
"08/08/2022","80.5"
"09/08/2022","80.8"
"10/08/2022","84.4"
"11/08/2022","81.6"
"12/08/2022","76.6"
"13/08/2022","72.9"
"14/08/2022","72.4"
"15/08/2022","73.0"
"16/08/2022","71.4"
"17/08/2022","71.6"
"18/08/2022","75.1"
"19/08/2022","74.5"
"20/08/2022","75.1"
"21/08/2022","75.4"
"22/08/2022","75.1"
"23/08/2022","74.6"
"24/08/2022","69.4"
"25/08/2022","69.1"
"26/08/2022","67.4"
"27/08/2022","67.1"
"28/08/2022","65.8"
"29/08/2022","64.6"
"30/08/2022","64.9"
"31/08/2022","65.1"
"01/09/2022","59.9"
"02/09/2022","58.8"
"03/09/2022","54.6"
"04/09/2022","53.1"
"05/09/2022","53.1"
"06/09/2022","51.6"
"07/09/2022","51.8"
"08/09/2022","51.1"
"09/09/2022","56.3"
"10/09/2022","50.5"
"11/09/2022","49.6"
"12/09/2022","48.9"
"13/09/2022","45.1"
"14/09/2022","40.4"
"15/09/2022","36.6"
"16/09/2022","51.4"
"17/09/2022","48.9"
"18/09/2022","49.0"
"19/09/2022","48.6"
"20/09/2022","44.5"
"21/09/2022","40.4"
"22/09/2022","37.4"
"23/09/2022","37.8"
"24/09/2022","37.4"
"25/09/2022","37.3"
"26/09/2022","37.2"
"27/09/2022","35.4"
"28/09/2022","35.2"
"29/09/2022","34.6"
"30/09/2022","33.6"
"01/10/2022","33.4"
"02/10/2022","32.3"
"03/10/2022","31.9"
"04/10/2022","30.6"
"05/10/2022","30.3"
"06/10/2022","27.9"
"07/10/2022","26.5"
"08/10/2022","26.5"
"09/10/2022","26.5"
"10/10/2022","26.5"
"11/10/2022","26.5"
"12/10/2022","26.5"
"13/10/2022","26.5"
"14/10/2022","17.2"
"15/10/2022","17.2"
"16/10/2022","17.2"
"17/10/2022","17.2"
"18/10/2022","17.2"
"19/10/2022","17.2"
"20/10/2022","17.2"
"21/10/2022","14.9"
"22/10/2022","14.9"
"23/10/2022","14.9"
"24/10/2022","14.9"
"25/10/2022","14.9"
"26/10/2022","14.9"
"27/10/2022","14.9"
"28/10/2022","14.1"
"29/10/2022","14.1"
"30/10/2022","14.1"
"31/10/2022","14.1"
"01/11/2022","14.1"
"02/11/2022","14.1"
"03/11/2022","14.1"
"04/11/2022","16.2"
"05/11/2022","16.2"
"06/11/2022","16.2"
"07/11/2022","16.2"
"08/11/2022","16.2"
"09/11/2022","16.2"
"10/11/2022","16.2"
"11/11/2022","15.1"
"12/11/2022","15.1"
"13/11/2022","15.1"
"14/11/2022","15.1"
"15/11/2022","15.1"
"16/11/2022","15.1"
"17/11/2022","15.1"
"18/11/2022","15.4"
"19/11/2022","15.4"
"20/11/2022","15.4"
"21/11/2022","15.4"
"22/11/2022","15.4"
"23/11/2022","15.4"
"24/11/2022","15.4"
"25/11/2022","17.9"
"26/11/2022","17.9"
"27/11/2022","17.9"
"28/11/2022","17.9"
"29/11/2022","17.9"
"30/11/2022","17.9"
"01/12/2022","17.9"
"02/12/2022","18.8"
"03/12/2022","18.8"
"04/12/2022","18.8"
"05/12/2022","18.8"
"06/12/2022","18.8"
"07/12/2022","18.8"
"08/12/2022","18.8"
"09/12/2022","25.1"
"10/12/2022","25.1"
"11/12/2022","25.1"
"12/12/2022","25.1"
"13/12/2022","25.1"
"14/12/2022","25.1"
"15/12/2022","25.1"
"16/12/2022","32.3"
"17/12/2022","32.3"
"18/12/2022","32.3"
"19/12/2022","32.3"
"20/12/2022","32.3"
"21/12/2022","32.3"
"22/12/2022","32.3"
"23/12/2022","34.9"
"24/12/2022","34.9"
"25/12/2022","34.9"
"26/12/2022","34.9"
"27/12/2022","34.9"
"28/12/2022","34.9"
"29/12/2022","34.9"
"30/12/2022","27.2"
"31/12/2022","27.2"
"01/01/2023","27.2"
"02/01/2023","27.2"
"03/01/2023","27.2"
"04/01/2023","27.2"
"05/01/2023","27.2"
"06/01/2023","29.6"
"07/01/2023","29.6"
"08/01/2023","29.6"
"09/01/2023","29.6"
"10/01/2023","29.6"
"11/01/2023","29.6"
"12/01/2023","29.6"
"13/01/2023","50.2"
"14/01/2023","50.2"
"15/01/2023","50.2"
"16/01/2023","50.2"
"17/01/2023","50.2"
"18/01/2023","50.2"
"19/01/2023","50.2"
"20/01/2023","56.7"
"21/01/2023","56.7"
"22/01/2023","56.7"
"23/01/2023","56.7"
"24/01/2023","56.7"
"25/01/2023","56.7"
"26/01/2023","56.7"
"27/01/2023","53.6"
"28/01/2023","53.6"
"29/01/2023","53.6"
"30/01/2023","53.6"
"31/01/2023","53.6"
"01/02/2023","53.6"
"02/02/2023","53.6"
"03/02/2023","42.6"
"04/02/2023","42.6"
"05/02/2023","42.6"
"06/02/2023","42.6"
"07/02/2023","42.6"
"08/02/2023","42.6"
"09/02/2023","42.6"
"10/02/2023","33.9"
"11/02/2023","33.9"
"12/02/2023","33.9"
"13/02/2023","33.9"
"14/02/2023","33.9"
"15/02/2023","33.9"
"16/02/2023","33.9"
"17/02/2023","28.7"
"18/02/2023","28.7"
"19/02/2023","28.7"
"20/02/2023","28.7"
"21/02/2023","28.7"
"22/02/2023","28.7"
"23/02/2023","28.7"
"24/02/2023","19.9"
"25/02/2023","19.9"
"26/02/2023","19.9"
"27/02/2023","19.9"
"28/02/2023","19.9"
"01/03/2023","19.9"
"02/03/2023","19.9"
"03/03/2023","15.5"
"04/03/2023","15.5"
"05/03/2023","15.5"
"06/03/2023","15.5"
"07/03/2023","15.5"
"08/03/2023","15.5"
"09/03/2023","15.5"
"10/03/2023","16.1"
"11/03/2023","16.1"
"12/03/2023","16.1"
"13/03/2023","16.1"
"14/03/2023","16.1"
"15/03/2023","16.1"
"16/03/2023","16.1"
"17/03/2023","17.4"
"18/03/2023","17.4"
"19/03/2023","17.4"
"20/03/2023","17.4"
"21/03/2023","17.4"
"22/03/2023","17.4"
"23/03/2023","17.4"
"24/03/2023","13.3"
"25/03/2023","13.3"
"26/03/2023","13.3"
"27/03/2023","13.3"
"28/03/2023","13.3"
"29/03/2023","13.3"
"30/03/2023","13.3"
"31/03/2023","12.3"
"01/04/2023","12.3"
"02/04/2023","12.3"
"03/04/2023","12.3"
"04/04/2023","12.3"
"05/04/2023","12.3"
"06/04/2023","12.3"
"07/04/2023","12.9"
"08/04/2023","12.9"
"09/04/2023","12.9"
"10/04/2023","12.9"
"11/04/2023","12.9"
"12/04/2023","12.9"
"13/04/2023","12.9"
"14/04/2023","14.3"
"15/04/2023","14.3"
"16/04/2023","14.3"
"17/04/2023","14.3"
"18/04/2023","14.3"
"19/04/2023","14.3"
"20/04/2023","14.3"
"21/04/2023","16.2"
"22/04/2023","16.2"
"23/04/2023","16.2"
"24/04/2023","16.2"
"25/04/2023","16.2"
"26/04/2023","16.2"
"27/04/2023","16.2"
"28/04/2023","15.9"
"29/04/2023","15.9"
"30/04/2023","15.9"
"01/05/2023","15.9"
"02/05/2023","15.9"
"03/05/2023","15.9"
"04/05/2023","15.9"
"05/05/2023","17.9"
"06/05/2023","17.9"
"07/05/2023","17.9"
"08/05/2023","17.9"
"09/05/2023","17.9"
"10/05/2023","17.9"
"11/05/2023","17.9"
"12/05/2023","21.4"
"13/05/2023","21.4"
"14/05/2023","21.4"
"15/05/2023","21.4"
"16/05/2023","21.4"
"17/05/2023","21.4"
"18/05/2023","21.4"
"19/05/2023","20.4"
"20/05/2023","20.4"
"21/05/2023","20.4"
"22/05/2023","20.4"
"23/05/2023","20.4"
